Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,Notes from original source,License URL
CM.MKT.LCAP.CD,CC BY-4.0,Market capitalization of listed domestic companies (current US$),,"Market capitalization (also known as market value) is the share price times the number of shares outstanding (including their several classes) for listed domestic companies. Investment funds, unit trusts, and companies whose only business goal is to hold shares of other listed companies are excluded. Data are end of year values converted to U.S. dollars using corresponding year-end foreign exchange rates.",World Federation of Exchanges database.,Financial Sector: Capital markets,,Annual,,Sum,"Market capitalization figures include: shares of listed domestic companies; shares of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange); common and preferred shares of domestic companies; and shares without voting rights. Market capitalization figures exclude: collective investment funds ; rights, warrants, ETFs, convertible instruments ; options, futures ; foreign listed shares other than exclusively listed ones; companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status; and companies admitted to trading (i.e., companies whose shares are traded at the exchange but not listed at the exchange).","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.","Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards.",Stock market data were previously sourced from Standard & Poor's until they discontinued their "Global Stock Markets Factbook" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
TX.VAL.MRCH.CD.WT,CC BY-4.0,Merchandise exports (current US$),,Merchandise exports show the f.o.b. value of goods provided to the rest of the world valued in current U.S. dollars.,World Trade Organization.,Private Sector & Trade: Exports,,Annual,,Gap-filled total,"Merchandise trade data are from customs reports of goods moving into or out of an economy or from reports of financial transactions related to merchandise trade recorded in the balance of payments. Because of differences in timing and definitions, trade flow estimates from customs reports and balance of payments may differ. Several international agencies process trade data, each correcting unreported or misreported data, leading to other differences.

The data on total exports of goods (merchandise) are from the World Trade Organization (WTO), which obtains data from national statistical offices and the IMF's International Financial Statistics, supplemented by the Comtrade database and publications or databases of regional organizations, specialized agencies, economic groups, and private sources (such as Eurostat, the Food and Agriculture Organization, and country reports of the Economist Intelligence Unit). Country websites and email contact have improved collection of up-to-date statistics, reducing the proportion of estimates. The WTO database now covers most major traders in Africa, Asia, and Latin America, which together with high-income countries account for nearly 95 percent of world trade. Reliability of data for countries in Europe and Central Asia has also improved.",,"Exports are recorded as the cost of the goods delivered to the frontier of the exporting country for shipment - the free on board (f.o.b.) value.

Countries may report trade according to the general or special system of trade. Under the general system exports comprise outward-moving goods that are (a) goods wholly or partly produced in the country; (b) foreign goods, neither transformed nor declared for domestic consumption in the country, that move outward from customs storage; and (c) goods previously included as imports for domestic consumption but subsequently exported without transformation. Under the special system exports comprise categories a and c. In some compilations categories b and c are classified as re-exports. Because of differences in reporting practices, data on exports may not be fully comparable across economies.

Data on exports of goods are derived from the same sources as data on imports. In principle, world exports and imports should be identical. Similarly, exports from an economy should equal the sum of imports by the rest of the world from that economy. But differences in timing and definitions result in discrepancies in reported values at all levels.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
GC.AST.TOTL.GD.ZS,CC BY-4.0,Net acquisition of financial assets (% of GDP),,"Net acquisition of government financial assets includes domestic and foreign financial claims, SDRs, and gold bullion held by monetary authorities as a reserve asset. The net acquisition of financial assets should be offset by the net incurrence of liabilities.","International Monetary Fund, Government Finance Statistics Yearbook and data files.",Public Sector: Government finance: Deficit & financing,,Annual,,Weighted average,"The IMF's Government Finance Statistics Manual 2014, harmonized with the 2008 SNA, recommends an accrual accounting method, focusing on all economic events affecting assets, liabilities, revenues, and expenses, not just those represented by cash transactions. It accounts for all changes in stocks, so stock data at the end of an accounting period equal stock data at the beginning of the period plus flows over the period. The 1986 manual considered only debt stocks.

Government finance statistics are reported in local currency. Many countries report government finance data by fiscal year; see country metadata for information on fiscal year end by country.",,"For most countries central government finance data have been consolidated into one account, but for others only budgetary central government accounts are available. Countries reporting budgetary data are noted in the country metadata. Because budgetary accounts may not include all central government units (such as social security funds), they usually provide an incomplete picture. In federal states the central government accounts provide an incomplete view of total public finance.

Data on government revenue and expense are collected by the IMF through questionnaires to member countries and by the Organisation for Economic Co-operation and Development (OECD). Despite IMF efforts to standardize data collection, statistics are often incomplete, untimely, and not comparable across countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
BX.TRF.PWKR.DT.GD.ZS,CC BY-4.0,"Personal remittances, received (% of GDP)",,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees.","World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Current account: Transfers,,Annual,,Weighted average,,,,Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.MED.PHYS.ZS,CC BY-4.0,"Physicians (per 1,000 people)",,Physicians include generalist and specialist medical practitioners.,"World Health Organization's Global Health Workforce Statistics, OECD, supplemented by country data.",Health: Health systems,,Annual,,Weighted average,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.

Data on health worker (physicians, nurses and midwives, and community health workers) density show the availability of medical personnel.","The WHO estimates that at least 2.5 medical staff (physicians, nurses and midwives) per 1,000 people are needed to provide adequate coverage with primary care interventions (WHO, World Health Report 2006).","The WHO compiles data from household and labor force surveys, censuses, and administrative records. Data comparability is limited by differences in definitions and training of medical personnel varies. In addition, human resources tend to be concentrated in urban areas, so that average densities do not provide a full picture of health personnel available to the entire population.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.GROW,CC BY-4.0,Population growth (annual %),"Annual population growth rate. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects: 2019 Revision, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Population: Dynamics,,Annual,,Weighted average,"Total population growth rates are calculated on the assumption that rate of growth is constant between two points in time. The growth rate is computed using the exponential growth formula:

r = ln(pn/p0)/n, 

where r is the exponential rate of growth, ln() is the natural logarithm, pn is the end period population, p0 is the beginning period population, and n is the number of years in between. Note that this is not the geometric growth rate used to compute compound growth over discrete periods.

For information on total population from which the growth rates are calculated, see total population (SP.POP.TOTL).",,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL,CC BY-4.0,"Population, total",,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Population: Structure,,Annual,,Sum,"Population estimates are usually based on national population censuses. Estimates for the years before and after the census are interpolations or extrapolations based on demographic models.

Errors and undercounting occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.

The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.

The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.

The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.

International migration is the only other factor besides birth and death rates that directly determines a country's population growth. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.

Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 

The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data. In the UN estimates the five-year age group is the cohort unit and five-year period data are used; therefore interpolations to obtain annual data or single age structure may not reflect actual events or age composition.

Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.",Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL.MA.IN,CC BY-4.0,"Population, male",,"Male population is based on the de facto definition of population, which counts all male residents regardless of legal status or citizenship.",World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2019 Revision.,Health: Population: Structure,,Annual,,Sum,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL.FE.ZS,CC BY-4.0,"Population, female (% of total population)",,"Female population is the percentage of the population that is female. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.",World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,Health: Population: Structure,,Annual,,Weighted average,"Population structure by age and sex in the World Bank's estimates is based on the population structure by age and sex in United Nations Population Division's World Population Prospects. For more information, see the original source.","Females comprise almost one-half of the world population.  Female population relative to male population is a primary demographic indicator, reflecting historical events such as wars and the socio-demographic and ethno-cultural characteristics of the population.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL.MA.ZS,CC BY-4.0,"Population, male (% of total population)",,"Male population is the percentage of the population that is male. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.",World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,Health: Population: Structure,,Annual,,Weighted average,"Population structure by age and sex in the World Bank's estimates is based on the population structure by age and sex in United Nations Population Division's World Population Prospects. For more information, see the original source.",,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL.FE.IN,CC BY-4.0,"Population, female",,"Female population is based on the de facto definition of population, which counts all female residents regardless of legal status or citizenship.",World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2019 Revision.,Health: Population: Structure,,Annual,,Sum,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
BX.PEF.TOTL.CD.WD,CC BY-4.0,"Portfolio equity, net inflows (BoP, current US$)",,"Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares, stocks, depository receipts (American or global), and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments database, and World Bank, International Debt Statistics.",Economic Policy & Debt: Balance of payments: Capital & financial account,,Annual,,Sum,"Data on equity flows are based on balance of payments data reported by the International Monetary Fund (IMF).

Portfolio equity investment is defined as cross-border transactions and positions involving equity securities, other than those included in direct investment or reserve assets. Equity securities are equity instruments that are negotiable and designed to be traded, usually on organized exchanges or "over the counter." The negotiability of securities facilitates trading, allowing securities to be held by different parties during their lives. Negotiability allows investors to diversify their portfolios and to withdraw their investment readily. Included in portfolio investment are investment fund shares or units (that is, those issued by investment funds) that are evidenced by securities and that are not reserve assets or direct investment. Although they are negotiable instruments, exchange-traded financial derivatives are not included in portfolio investment because they are in their own category.","Private financial flows - equity and debt - account for the bulk of development finance. Equity flows comprise foreign direct investment (FDI) and portfolio equity. Debt flows are financing raised through bond issuance, bank lending, and supplier credits.","Portfolio investors typically have less of a role in the decision making of the enterprise with potentially important implications for future flows and for the volatility of the price and volume of positions. Portfolio investment differs from other investment in that it provides a direct way to access financial markets, and thus it can provide liquidity and flexibility. It is associated with financial markets and with their specialized service providers, such as exchanges, dealers, and regulators. The nature of financial derivatives as instruments through which risk is traded in its own right in financial markets sets them apart from other types of investment. Whereas other instruments may also have risk transfer elements, these other instruments also provide financial or other resources.

The volume of global private financial flows reported by the World Bank generally differs from that reported by other sources because of differences in sources, classification of economies, and method used to adjust and disaggregate reported information. In addition, particularly for debt financing, differences may also reflect how some installments of the transactions and certain offshore issuances are treated.

Data on equity flows are shown for all countries for which data are available.",Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,,,https://datacatalog.worldbank.org/public-licenses#cc-by
GB.XPD.RSDV.GD.ZS,CC BY-4.0,Research and development expenditure (% of GDP),,"Gross domestic expenditures on research and development (R&D), expressed as a percent of GDP. They include both capital and current expenditures in the four main sectors: Business enterprise, Government, Higher education and Private non-profit. R&D covers basic research, applied research, and experimental development.",UNESCO Institute for Statistics (http://uis.unesco.org/),Infrastructure: Technology,,Annual,,Weighted average,"The gross domestic expenditure on R&D indicator consists of the total expenditure (current and capital) on R&D by all resident companies, research institutes, university and government laboratories, etc. It excludes R&D expenditures financed by domestic firms but performed abroad. 

The OECD's Frascati Manual defines research and experimental development as "creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications." R&D covers basic research, applied research, and experimental development.

(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view

(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.

(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.

The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:
1. Natural sciences;
2. Engineering and technology;
3. Medical and health sciences;
4. Agricultural sciences;
5. Social sciences;
6. Humanities and the arts.

The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.",Expenditure on research and development (R&D) is a key indicator of government and private sector efforts to obtain competitive advantage in science and technology.,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers. 

R&D totals from SNA accounts may differ from these estimates, due in part to the different treatments of software R&D in the totals.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.SCIE.RD.P6,CC BY-4.0,Researchers in R&D (per million people),,"The number of researchers engaged in Research &Development (R&D), expressed as per million. Researchers are professionals who conduct research and improve or develop concepts, theories, models techniques instrumentation, software of operational methods. R&D covers basic research, applied research, and experimental development.",UNESCO Institute for Statistics (http://uis.unesco.org/),Infrastructure: Technology,,Annual,,Weighted average,"Researchers are professionals engaged in the conception or creation of new knowledge, products, processes, methods and systems, as well as in the management of these projects. Students studying at the master’s or doctoral level (ISCED2011 level 7 or 8) engaged in R&D are included. 

The OECD's Frascati Manual defines research and experimental development as "creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications." R&D covers basic research, applied research, and experimental development.

(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view.

(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.

(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.

The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:
1. Natural sciences;
2. Engineering and technology;
3. Medical and health sciences;
4. Agricultural sciences;
5. Social sciences;
6. Humanities and the arts.

Data are for full-time equivalent (FTE); the FTE of R&D personnel is defined as the ratio of working hours actually spent on R&D during a specific reference period (usually a calendar year) divided by the total number of hours conventionally worked in the same period by an individual or by a group. 

The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.",,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
AG.LND.TOTL.RU.K2,CC BY-4.0,Rural land area (sq. km),,"Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",Environment: Land use,,Annual,,Sum,"The Global Rural-Urban Mapping Project, Version 1 (GRUMPv1) urban extent grid distinguishes urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights . Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons. This dataset is produced by the Columbia University Center for International Earth Science Information Network (CIESIN) in collaboration with the International Food Policy Research Institute (IFPRI), The World Bank, and Centro Internacional de Agricultura Tropical (CIAT)",,"The 2007 Intergovernmental Panel on Climate Change's (IPCC) assessment report concluded that global warming is “unequivocal” and gave the strongest warning yet about the role of human activities. The report estimated that sea levels would rise approximately 49 centimeters over the next 100 years, with a range of uncertainty of 20–86 centimeters. That will lead to increased coastal flooding through direct inundation and a higher base for storm surges, allowing flooding of larger areas and higher elevations. Climate model simulations predict an increase in average surface air temperature of about 2.5°C by 2100 (Kattenberg and others 1996) and increase of “killer” heat waves during the warm season (Karl and others 1997).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.RUR.TOTL,CC BY-4.0,Rural population,,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population. Aggregation of urban and rural population may not add up to total population because of different country coverages.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Environment: Density & urbanization,,Annual,,Sum,"Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as "urban" or "rural."

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. "Rural" encompasses all population, housing, and territory not included within an urban area.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.RUR.TOTL.ZS,CC BY-4.0,Rural population (% of total population),,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Environment: Density & urbanization,,Annual,,Weighted average,"Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as "urban" or "rural."

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. "Rural" encompasses all population, housing, and territory not included within an urban area.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.RUR.TOTL.ZG,CC BY-4.0,Rural population growth (annual %),,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Environment: Density & urbanization,,Annual,,Weighted average,"Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as "urban" or "rural."

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. "Rural" encompasses all population, housing, and territory not included within an urban area.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
